population_group,federal_per_adult,school_per_adult,net_crude_per_adult,weight_adults
eu27_origin,4694.649647653582,,,1461553.0
fb_lt_hs,676.7904040735388,,,7686859.0
mexico_origin,1519.2783963332315,,,8496334.0
mx_ca_cluster,1519.0169626638813,,,11079950.0
nh_white_all,2802.698206013112,6055.3203852518345,-3293.1001474914383,96748430.0
nh_white_fborn,3897.629992306748,6536.50455088198,-3533.7348218656457,4737210.0
nh_white_usborn,2746.325496170246,6023.525273443319,-3277.1997772730747,92011220.0
uk_origin,5486.0051526357265,,,421634.0
us_foreign_born_stock,3002.7697290163387,,,33506698.0
